vertex1,vertex2,vertex3,vertex4,nosequeesesto
141,140,139,137,1
52,137,140,60,1
61,138,107,71,1
143,109,123,100,1
6,22,2,142,1
61,78,138,135,1
44,137,53,25,1
20,138,10,29,1
53,137,59,45,1
133,113,141,124,1
136,135,139,144,1
135,46,56,61,1
62,138,39,71,1
103,133,141,124,1
84,145,80,88,1
144,128,116,141,1
125,144,117,109,1
106,78,112,138,1
145,129,84,135,1
136,72,73,82,1
10,9,25,137,1
112,78,94,135,1
47,1,77,135,1
77,135,81,80,1
22,37,2,142,1
77,80,75,135,1
67,135,94,78,1
80,81,145,135,1
136,135,13,12,1
81,80,145,83,1
136,85,72,82,1
145,138,129,135,1
145,111,97,105,1
