x,y,z,nosequeesesto
6.12323399573677e-19,-1.49975978266186e-34,0.01,6
6.12323399573677e-19,-1.49975978266186e-34,-0.01,8
6.12323399573677e-19,-1.49975978266186e-34,0.01,5
6.12323399573677e-19,-1.49975978266186e-34,0.01,5
6.12323399573677e-19,-1.49975978266186e-34,0.01,5
0.00309016994374947,-7.5687334608683e-19,-0.00951056516295154,7
0.00587785252292473,-1.43965865561199e-18,-0.00809016994374948,7
0.00809016994374947,-1.98152014523418e-18,-0.00587785252292473,7
0.00951056516295154,-2.32941663697818e-18,-0.00309016994374948,7
0.01,-2.44929359829471e-18,-2.44929359829471e-18,7
0.00951056516295154,-2.32941663697818e-18,0.00309016994374947,7
0.00809016994374948,-1.98152014523418e-18,0.00587785252292473,7
0.00587785252292473,-1.43965865561199e-18,0.00809016994374947,7
0.00309016994374948,-7.56873346086831e-19,0.00951056516295154,7
6.12323399573677e-19,-1.49975978266186e-34,-0.01,9
6.12323399573677e-19,-1.49975978266186e-34,-0.01,9
6.12323399573677e-19,-1.49975978266186e-34,-0.01,9
0.00395632890072246,0.00289843140873001,0.00871473218166775,3
0.0085091656404272,0.0026189729070147,0.00455357892389011,3
0.00948258578049999,0.00283787070565362,-0.00142374744019171,3
0.00665114336736286,0.00291251252581856,-0.00687601357573813,3
0.00105212852037726,0.00277667782246762,-0.00954898349809158,3
0.00126163068330989,-0.00272079202191935,-0.00953968441786158,3
0.00666770029416098,-0.00276426682093213,-0.00692102606048694,3
0.00941850761649397,-0.00301317916086301,-0.00148743592217815,3
0.0084929614981498,-0.00272957187174266,0.0045187434523257,3
0.00388841271039883,-0.00292402107725261,0.00873672406187761,3
0.00658815458959856,0.00287427943621256,0.00695231880929788,3
0.00951810333110818,0.00261004782943348,0.00161039104146074,3
0.00850168735412929,0.00294075040235149,-0.00436729884524835,3
0.0041420363702743,0.00274293853796345,-0.00867869937745742,3
-0.00188584254914975,-0.00263377467774244,-0.00946080487203383,3
0.00414129347405671,-0.00271655359865372,-0.00868734855450021,3
0.00845991574868444,-0.00294209848061562,-0.00444678333804564,3
0.00941561903187649,-0.00295624022157288,0.00161454699495554,3
0.00657647214630322,-0.00270933481246554,0.00702919049271395,3
-0.00227857577364602,0.00304794202494281,-0.00924760195165973,3
0.000666135679528605,-0.00279941402763618,0.00957703212682994,3
0.0085038509133719,0.00524672109475484,0.000395521677027417,3
0.00659001484398272,0.00556678568770643,-0.00505792462016134,3
